Experiment_Type,Parameter,Config1,Config2,P1_Wins,P2_Wins,Draws,P1_Win_Rate,P2_Win_Rate,Avg_Moves,Avg_Duration,Avg_Nodes_P1,Avg_Nodes_P2,Total_Time
depth_analysis,depth_2,random,balanced,3,12,0,0.200,0.800,91.4,3.8,1,358,56.6
depth_analysis,depth_3,random,balanced,7,8,0,0.467,0.533,99.3,4.1,1,286,60.8
depth_analysis,depth_4,random,balanced,4,11,0,0.267,0.733,98.3,4.5,1,348,67.9
depth_analysis,depth_5,random,balanced,6,9,0,0.400,0.600,98.1,4.4,1,348,65.7
timeout_analysis,timeout_1.0,balanced,aggressive,5,5,0,0.500,0.500,85.9,4.2,168,211,42.0
timeout_analysis,timeout_3.0,balanced,aggressive,5,5,0,0.500,0.500,85.9,4.2,168,211,42.3
timeout_analysis,timeout_5.0,balanced,aggressive,5,5,0,0.500,0.500,85.9,4.2,168,211,42.3
timeout_analysis,timeout_10.0,balanced,aggressive,5,5,0,0.500,0.500,85.9,4.2,168,211,42.0
heuristic_analysis,material_only,random,material_only,3,12,0,0.200,0.800,99.1,2.3,1,290,33.9
heuristic_analysis,tactical,random,tactical,3,12,0,0.200,0.800,99.4,3.5,1,243,52.6
heuristic_analysis,defensive,random,defensive,1,14,0,0.067,0.933,99.5,4.6,1,315,69.4
heuristic_analysis,aggressive,random,aggressive,3,12,0,0.200,0.800,98.6,3.8,1,267,56.8
