Problem,,,Constructive algorithm,,,LocalSearch,,GRASP-50,,GRASP-100,,GRASP-200,,GRASP-300,,Known best solution or upper bound,Best Values
name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Average value,No. of iterations,GRASP-50 Val,Iterations,GRASP-100 Val,Iterations,GRASP-200 Val,Iterations,GRASP-300 Val,Iterations,Best,Given Best
g1,800,19176,9602.92,10967,11241,11390.6,5,11452,50,11440,100,11459,200,11483,300,11483,12078
g2,800,19176,9569.91,11036,11289,11395.2,5,11463,50,11500,100,11481,200,11485,300,11500,12084
g3,800,19176,9596.62,11018,11265,11395.2,5,11454,50,11485,100,11483,200,11495,300,11495,12077
g4,800,19176,9588.53,11050,11279,11357.2,5,11480,50,11490,100,11555,200,11515,300,11555,n/a
g5,800,19176,9589.19,11056,11223,11371.6,5,11483,50,11476,100,11512,200,11519,300,11519,n/a
g6,800,19176,71.42,1488,1700,1937,5,2069,50,2006,100,2043,200,2069,300,2069,n/a
g7,800,19176,-77.12,1422,1571,1752.4,5,1829,50,1857,100,1865,200,1876,300,1876,n/a
g8,800,19176,-74.69,1320,1592,1771.6,5,1860,50,1863,100,1872,200,1868,300,1872,n/a
g9,800,19176,-32.84,1428,1637,1770,5,1869,50,1923,100,1923,200,1912,300,1923,n/a
g10,800,19176,-82.15,1275,1686,1761,5,1827,50,1841,100,1849,200,1852,300,1852,n/a
g11,800,1600,15.94,432,490,470.4,5,506,50,508,100,506,200,508,300,508,627
g12,800,1600,-1.62,418,464,458.8,5,502,50,500,100,502,200,504,300,504,621
g13,800,1600,19.06,418,484,485.6,5,528,50,532,100,528,200,524,300,532,645
g14,800,4694,2346.44,2901,2930,2970.2,5,2989,50,2991,100,3001,200,2996,300,3001,3187
g15,800,4661,2332.44,2876,2922,2947.6,5,2969,50,2977,100,2979,200,2978,300,2979,3169
g16,800,4672,2340.01,2896,2949,2941,5,2977,50,2988,100,2977,200,2985,300,2988,3172
g17,800,4667,2334.95,2887,2923,2948.2,5,2972,50,2973,100,2986,200,2978,300,2986,n/a
g18,800,4694,23.71,807,848,867.8,5,925,50,924,100,928,200,925,300,928,n/a
g19,800,4661,-60.08,743,716,787.6,5,836,50,835,100,850,200,852,300,852,n/a
g20,800,4672,-19.88,728,767,793.6,5,854,50,874,100,868,200,879,300,879,n/a
g21,800,4667,-41.58,701,735,792.6,5,850,50,854,100,850,200,862,300,862,n/a
g22,2000,19990,10006.6,12402,12803,12869.6,5,13037,50,13060,100,13068,200,13051,300,13068,14123
g23,2000,19990,9995.58,12300,12769,12934.8,5,13010,50,13052,100,13029,200,13050,300,13052,14129
g24,2000,19990,9983.64,12361,12734,12888.2,5,13022,50,13026,100,13030,200,13063,300,13063,14131
g25,2000,19990,9996.46,12393,12784,12927.6,5,13033,50,13030,100,13044,200,13025,300,13044,n/a
g26,2000,19990,9988.39,12327,12840,12910.4,5,13033,50,13019,100,13031,200,13043,300,13043,n/a
g27,2000,19990,-33.71,2322,2713,2853,5,2993,50,2986,100,2995,200,3015,300,3015,n/a
g28,2000,19990,-52.29,2294,2623,2875,5,2939,50,2960,100,2974,200,2960,300,2974,n/a
g29,2000,19990,49.54,2369,2742,2927.8,5,3056,50,3041,100,3074,200,3063,300,3074,n/a
g30,2000,19990,57.48,2412,2664,2911.2,5,3079,50,3072,100,3065,200,3069,300,3079,n/a
g31,2000,19990,-38.69,2334,2638,2833.4,5,3011,50,2990,100,2980,200,3001,300,3011,n/a
g32,2000,4000,11.34,1026,1194,1171.2,5,1248,50,1250,100,1248,200,1258,300,1258,1560
g33,2000,4000,-15.12,1008,1182,1153.2,5,1232,50,1232,100,1238,200,1246,300,1246,1537
g34,2000,4000,-27.9,980,1170,1160.8,5,1224,50,1238,100,1238,200,1244,300,1244,1541
g35,2000,11778,5880.63,7284,7378,7438.4,5,7479,50,7480,100,7485,200,7489,300,7489,8000
g36,2000,11766,5873.24,7222,7363,7424.4,5,7472,50,7465,100,7479,200,7474,300,7479,7996
g37,2000,11785,5893.96,7254,7377,7428.6,5,7477,50,7491,100,7487,200,7503,300,7503,8009
g38,2000,11779,5890.98,7231,7350,7440.6,5,7477,50,7483,100,7497,200,7493,300,7497,n/a
g39,2000,11778,11.59,1938,1906,2081.6,5,2156,50,2171,100,2185,200,2181,300,2185,n/a
g40,2000,11766,-51.71,1896,1978,2043,5,2172,50,2161,100,2178,200,2191,300,2191,n/a
g41,2000,11785,-4.58,1876,1991,2048.2,5,2181,50,2188,100,2178,200,2215,300,2215,n/a
g42,2000,11779,62.85,1967,2125,2154.2,5,2254,50,2261,100,2260,200,2267,300,2267,n/a
g43,1000,9990,4992.14,6172,6366,6431.6,5,6513,50,6519,100,6520,200,6532,300,6532,7027
g44,1000,9990,4993.06,6168,6375,6444,5,6532,50,6515,100,6515,200,6544,300,6544,7022
g45,1000,9990,4988.33,6200,6365,6463.8,5,6516,50,6527,100,6528,200,6514,300,6528,7020
g46,1000,9990,4990.68,6186,6384,6435.4,5,6511,50,6526,100,6524,200,6534,300,6534,n/a
g47,1000,9990,4989.15,6231,6353,6442.4,5,6522,50,6527,100,6527,200,6526,300,6527,n/a
g48,3000,6000,3006.44,6000,6000,6000,5,6000,50,6000,100,6000,200,6000,300,6000,6000
g49,3000,6000,2994.5,6000,6000,6000,5,6000,50,6000,100,6000,200,6000,300,6000,6000
g50,3000,6000,2995.1,5878,5880,5845.6,5,5880,50,5880,100,5880,200,5880,300,5880,5988
g51,1000,5909,2950.04,3623,3707,3716.8,5,3757,50,3767,100,3759,200,3759,300,3767,n/a
g52,1000,5916,2955.05,3632,3704,3739,5,3760,50,3768,100,3763,200,3761,300,3768,n/a
g53,1000,5914,2953.82,3651,3708,3728.8,5,3750,50,3764,100,3764,200,3758,300,3764,n/a
g54,1000,5916,2961.62,3633,3722,3729.4,5,3755,50,3756,100,3753,200,3754,300,3756,n/a
